,is_decoy,score
751,True,67.06538277017836
745,False,95.34776387939496
755,False,19.335978485954087
760,True,12.305831867624253
765,True,21.55412859252236
764,True,31.55749440548179
772,False,31.06135375814995
771,False,38.1846820998077
812,False,13.919220819110992
813,False,39.82661082387691
828,True,32.26937054765072
822,False,15.213107152923078
832,False,13.7375249962183
836,False,35.76375134326339
837,False,12.41816229874466
848,False,36.65891605371959
861,True,33.26381517278357
847,False,36.65891605371959
869,True,39.91696008093164
871,True,32.982488266281
874,False,80.81226566583464
905,True,53.466381469905286
942,True,21.66793369491306
939,True,46.21861181431275
946,False,229.46379916077828
952,True,80.29366486034348
956,True,14.371113756148327
959,False,18.055384759824147
960,False,13.8878276589953
965,False,107.67802893457755
966,False,41.41626887836566
985,False,5.965942792422389
984,False,13.107731274117915
993,False,18.563925593628557
996,True,21.918227400471565
998,False,11.753948638811558
1003,False,38.00377827170431
1000,False,64.45591187718107
1012,False,15.948102795821155
1018,True,29.860376441114028
1029,False,11.384821832538416
1025,False,35.9963222415651
1032,False,14.857840336198208
1033,False,14.857840336198208
1031,False,18.65486015021879
1049,True,14.352192113123545
1053,False,73.40332306608636
1055,False,35.7669473183996
1063,False,26.95827288105836
1071,True,29.110437755531706
1081,True,26.2925433208363
1077,False,21.863150969109117
1090,True,11.455024601889818
1092,False,76.14772443366122
1095,False,26.91495736492369
1111,True,40.82046353001171
1103,False,69.71067488076865
1113,True,41.08366436401027
1115,True,40.00403117903012
1122,False,27.81894847183849
1127,True,28.43408761079887
1135,False,17.146224798290312
1140,True,31.495648659476323
1143,False,12.298715305535817
1146,False,43.3900290685768
1153,True,18.92649732462193
1195,True,33.36444287076107
1155,False,36.13635201003076
1229,False,50.2163459552811
1234,True,28.79127173931977
1241,False,17.740528648221574
1240,False,18.32303258558993
1243,False,49.70782460028908
1242,False,60.777784717455376
1265,True,31.095739825041147
1252,False,39.11804065479403
1286,True,41.93720748218894
1287,True,38.803944112162895
1292,False,44.92463602770748
1294,False,30.938501247627844
1304,False,7.141030454234954
1302,False,17.158590274562467
1313,False,55.18776199706405
1312,False,61.98970760970752
1330,True,13.39897637137618
1328,False,21.064109322766733
1335,False,34.513497693443334
1333,False,50.53084129687049
1343,True,5.97883709821401
1345,True,31.307111390916205
1350,False,36.72090172702403
1349,False,36.93142944387128
1371,True,27.207401436389315
1365,True,38.19541012864092
1379,True,12.883516966523327
1374,False,32.99456968373927
1387,False,43.99175878595326
1391,False,13.383608891272496
1400,False,21.290398076567453
1407,False,15.705842817409758
1410,False,3.5780219442575243
1416,True,70.1500042909729
1423,True,39.877493866575605
1425,True,29.76835966634484
1438,True,19.22215262551567
1436,True,37.33449054451332
1441,False,53.2064661062872
1450,True,43.7060103923009
1452,False,44.61463044839188
1457,True,71.7424715303201
1465,True,73.86894508017339
1461,False,56.87106376595108
1472,False,42.60814991558013
1477,False,14.154777700272344
1483,False,50.34261665545798
1499,True,50.34261665545798
1498,True,50.34261665545798
1507,True,30.647579024266925
